--- Telegram Scrape Report ---
Timestamp: 2025-07-30 19:52:17
Total Channels: 502
Successful Scrapes: 469
Failed Scrapes: 0

--- Channels with Found Configs ---
v2raying: 299 configs
kanfig_majani: 244 configs
freakconfig: 179 configs
v2rayngrit: 158 configs
meli_proxyy: 152 configs
wedbazvpn: 151 configs
v2rayng3: 149 configs
prrofile_purple: 147 configs
gh_v2rayng: 145 configs
kafing_2: 143 configs
sockss_http: 134 configs
v2rayng_1378: 127 configs
filter_breaker: 126 configs
selinc: 126 configs
tgvpn6: 126 configs
outline_vpn: 117 configs
appsooner: 114 configs
satellitenewspersian: 111 configs
armodchannel: 108 configs
config_proxy: 108 configs
info_2it_channel: 107 configs
mtproxy22_v2ray: 105 configs
v222ray: 102 configs
mftizi: 100 configs
farahvpn: 92 configs
icv2ray: 92 configs
v2trayproxy: 89 configs
freevpn3327: 88 configs
Tweety_Proxy: 82 configs
v2rayopen: 82 configs
v2raycrow: 81 configs
manstervpn: 80 configs
hope_net: 79 configs
qrv2ray: 78 configs
vpnod: 77 configs
v2raytg: 77 configs
ai_duet: 75 configs
manzariyeh_rasht: 75 configs
freevirgoolnet: 71 configs
v2ra_ng_iran: 69 configs
jiedianssr: 67 configs
netfreedom0: 67 configs
arv2ra: 66 configs
freev2rng: 65 configs
ZibaNabz: 63 configs
torang_vpn: 63 configs
v2ray_sub: 62 configs
fastfreeconfig: 60 configs
shadowproxy66: 59 configs
ShadowProxy66: 59 configs
prroxyng: 59 configs
v2ray_youtube: 58 configs
mester_v2ray: 57 configs
mr_vpn123: 56 configs
v2rayngc: 56 configs
mehrosaboran: 54 configs
free_serverir: 53 configs
tobevasl: 53 configs
v2rayngconfig: 52 configs
bored_vpn: 51 configs
freenet_melli: 50 configs
vpn451: 49 configs
v2ray_v_vpn: 48 configs
maradona_vpn: 46 configs
v2rayngconfings: 46 configs
vmessorg: 45 configs
v2ry_proxy: 45 configs
v2rayngalpha: 43 configs
vpn_meliii: 43 configs
jiedianf: 42 configs
proxy48: 42 configs
sobyv2ray: 42 configs
free1_vpn: 41 configs
ir_netproxy: 41 configs
yaney_01: 41 configs
itenvpn: 40 configs
dailyv2ray: 40 configs
injectormconf: 40 configs
savagev2ray: 40 configs
evay_vpn: 39 configs
expressvpn_420: 38 configs
v2ra_config: 38 configs
nepo_v2ray: 38 configs
v2ray_collector: 38 configs
v2rayza: 38 configs
vipv2rey: 38 configs
v2rayngconfiig: 37 configs
jiujied: 36 configs
